"capa_fisica","esquema","objeto","tipo_objeto"
"Gold","dbo","TMS_Tipo_Vehiculos","BASE TABLE"
"Gold","dbo","TMS_Vehiculos","BASE TABLE"
"Gold","dbo","TMS_Vista_Viajes_Troncales","BASE TABLE"
"Gold","dbo","U3_Choferes","BASE TABLE"
"Gold","dbo","U3_Liq_Fleteros_Cabecera","BASE TABLE"
"Gold","dbo","U3_tablero_altas_presentismo","BASE TABLE"
"Gold","dbo","barras_usalud_comercial","BASE TABLE"
"Gold","dbo","calendario_usalud","BASE TABLE"
"Gold","dbo","canalizadores","BASE TABLE"
"Gold","dbo","gd_camiones_tms","BASE TABLE"
"Gold","dbo","gd_carritos_liquidacion","BASE TABLE"
"Gold","dbo","gd_choferes_tms","BASE TABLE"
"Gold","dbo","gd_citacion_presentismo","BASE TABLE"
"Gold","dbo","gd_dim_calendario","BASE TABLE"
"Gold","dbo","gd_documentacion_tms","BASE TABLE"
"Gold","dbo","gd_feriados","BASE TABLE"
"Gold","dbo","gd_fleteros_detalle_comp_costo","BASE TABLE"
"Gold","dbo","gd_liq_fleteros_p20su","BASE TABLE"
"Gold","dbo","gd_mlp_meli","BASE TABLE"
"Gold","dbo","gd_necesidades_moviles","BASE TABLE"
"Gold","dbo","gd_pnr_carritos","BASE TABLE"
"Gold","dbo","gd_pnr_carritos_final","BASE TABLE"
"Gold","dbo","gd_pnu_carritos","BASE TABLE"
"Gold","dbo","gd_presentismo_ranking_urbano_carritos","BASE TABLE"
"Gold","dbo","gd_reconocimiento_pnu","BASE TABLE"
"Gold","dbo","gd_resolucion_problemas","BASE TABLE"
"Gold","dbo","gd_semirremolques_tms","BASE TABLE"
"Gold","dbo","gd_sucursales","BASE TABLE"
"Gold","dbo","gd_sucursales_maestra","BASE TABLE"
"Gold","dbo","gd_tansportistas_tms","BASE TABLE"
"Gold","dbo","gd_volumen_sla","BASE TABLE"
"Gold","dbo","shippers_usalud","BASE TABLE"
"Gold","dbo","Presentes Carritos Productividad","VIEW"
"Gold","dbo","Presentes U3 Productividad","VIEW"
"Gold","dbo","vw_fleteros_p20sinUnidad","VIEW"
"Gold","dbo","vw_fleteros_p20sinUnidad_carritos","VIEW"
"Gold","dbo","vw_fleteros_p20sinUnidad_detalle","VIEW"
"Bronze","dbo","br_camiones_tms","BASE TABLE"
"Bronze","dbo","br_choferes_rrhh","BASE TABLE"
"Bronze","dbo","br_choferes_tms","BASE TABLE"
"Bronze","dbo","br_control_gestion_acumulado","BASE TABLE"
"Bronze","dbo","br_control_gestion_bases","BASE TABLE"
"Bronze","dbo","br_control_gestion_equivalencias_sucursales","BASE TABLE"
